id	user	icon	portrait	Italian	Japanese	Final Notes	pic	Filenames	Codes
GIRL_TONGUES	Girl			Lontano dalla Scizia & dalle sue steppe devastate dalla guerra, in un prato assolato, incontrammo una ragazza dai capelli corvini. #ciaomondo			72	001.jpg	Z0E1Q
				Presso coloro che abitano le montagne del Caucaso era nota come 'Ragazza' & sembrava gentile. #ovviamente					
SIGN_TADPOL	The Scythian			"""Casa è dove è il cuore."" #threegutrecords4ever"					
SIGN_WALL	The Scythian			"""Scizia, Cimmeria, Assiria & Persia - questi sono tutti regni degli uomini. Il Mingi Taw è Il Regno della Nuvola."""					
SIGN_CHASM	The Scythian			Sul bordo del periglioso precipizio, vi era una roccia scolpita con il glifo di una spada innalzata al cielo sotto i colori dell'arcobaleno.					
				Noi Sciti detestiamo gli arcobaleni. #arcobalenidetestabili			21	002.jpg	40C27
SIGN_BIRDTREE	The Scythian			In un sentiero laterale che conduceva lontano dalla strada antica vi era una roccia scolpita con una serie di glifi indecifrabili.					
				Tra i glifi indecifrabili notammo una serie di pittogrammi della luna.					
SIGN_BIRDTREEDECIPHERED	The Scythian			In un sentiero laterale che conduceva lontano dalla strada antica vi era una roccia scolpita con una serie di pittogrammi della luna un tempo indecifrabili.					
				"I pittogrammi si riferivano ad un luogo segreto che si trovava poco distante ""... in cui l'umore della luna poteva essere cambiato""."					
				La Grotta della Luna...? #grottadellaluna #macheè #èunmistero			205	003.jpg	60D3C
SIGN_WOLF	The Scythian			Sul lato della strada antica vi era una roccia scolpita con un paio di glifi con la foggia di una spada & uno scudo. #indizioindizio			16	004.jpg	T0C4X
SIGN_ANTECHAMBERLEFT	The Scythian			In un corridoio sotterraneo notammo una statua infausta, ma non ci preoccupammo troppo. #letradizionidelluogo			29	005.jpg	V0B53
INFO_CROSSMOUNTAINLEFT	The Scythian			Sul versante più aspro & pericolante del Mingi Taw, un sepolcro solitario segnava la fine di una strada sterrata.					
INFO_CROSSMOUNTAINRIGHT	The Scythian			Sul versante più aspro & pericolante del Mingi Taw, un sepolcro solitario segnava la fine di una strada sterrata.					
INFO_RIDGESKULLPOLE	The Scythian			Sul dorsale frastagliato che conduceva alla cima del Mingi Taw vi era un lugubre palo adornato da un teschio di cervo.					
INFO_CROSSRIDGE	The Scythian			Sul dorsale frastagliato che conduceva alla cima del Mingi Taw, un sepolcro solitario ricordava, come un lugubre monito, coloro i quali morirono laggiù.					
INFO_MEGATOMESTUCK	The Scythian		adventureUI/megatomeItem	Trovammo il Grantomo racchiuso fra due mani scheletriche & sentimmo la nostra spada muoversi nel fodero. #grantomo			33	006.jpg	30D6C
DOOR_SIDEBMEADOW	The Scythian			Una porticina senza maniglia fatta di un materiale sconosciuto. Un cartello dice 'Riservato al Personale Autorizzato'.					
DOOR_UPSLOPEWOODS1	The Scythian			La strada antica per Mingi Taw era bloccata da una porta chiusa a chiave.					
DOOR_UPSLOPEWOODS3	The Scythian			Una porta chiusa a chiave nascosta nel sottobosco della foresta sotto l'antica strada che conduce fin sul Mingi Taw. #grottadellaluna					
LOGFELLA_AVATAR			AdventureUI/dudeLogfellaIdle1						
LOGFELLA_INTRO_ADV	Logfella	AdventureUI/tweetIconBabelBook		Il taglialegna, tagliando la legna, tagliò della legna. #ovviamente #tagliandolalegna			71	007.jpg	7E+71
				Presso coloro che abitano le montagne del Caucaso era noto come 'Signor Ceppo' & sembrava un tipo tosto.					
				Il Signor Ceppo sapeva tutto del nostro compito ingrato & acconsentì a condurci fino all'antica strada.					
				Tuttavia avevamo la netta sensazione che non morisse dalla voglia di farlo.					
LOGFELLA_TADPOL_WAITING	Logfella	AdventureUI/tweetIconBabelBook		Il taglialegna ci aspettava per proseguire lungo il sentiero fino all'inizio dell'antica strada.			12	008.jpg	U0D88
LOGFELLA_INTRO_CHASM	The Scythian	AdventureUI/tweetIconBabelBook		Passammo sopra al nostro problema & ci sentimmo super svegli.			22	009.jpg	L0B9S
			adventureUI/megatomeItem	Raccontammo al Signor Ceppo che eravamo in cerca di un gravoso libro di infausta spadomanzia noto come il Grantomo.					
			adventureUI/megatomeItem	Il Grantomo era nascosto da qualche parte al di là del Precipizio Periglioso, sotto il Mingi Taw, nell'oscurità infestata dagli spettri.					
			adventureUI/megatomeItem	Eravamo risoluti nel recuperare Il Grantomo & ad uscire da lì sani & salvi.					
LOGFELLA_BEFOREWALL	The Scythian		AdventureUI/keyItem	Il taglialegna confermò al 100% che custodiva l'unica chiave che potesse aprire la porta nel muro di pietra.					
			AdventureUI/keyItem	Era davvero una bella chiave.					
				Eravamo del tutto pronti per premere & tenere premuto sul sentiero di fronte per muoverlo muoverlo muoverlo.					
LOGFELLA_POSTTONGUE	The Scythian		adventureUI/megatomeItem	Il taglialegna noto come Signor Ceppo sarebbe rimasto qui ad aspettarci di ritorno con Il Grantomo.					
LOGFELLA_HINT_SITTINGDOWN	The Scythian	AdventureUI/tweetIconBabelBook		Il taglialegna noto come Signor Ceppo aveva deciso di rilassarsi sotto un riparo di pietra vicino al Precipizio Periglioso.					
				Il Signor Ceppo pareva saper tutto sul detestabile arcobaleno & sul glifo vicino raffigurante una spada innalzata al cielo.					
				E tuttavia il Signor Ceppo offrì zero aiuti su cosa fare ora, il che ci diede un po' sui nervi, giusto per essere del tutto sinceri.					
LOGFELLA_WOLF_HINT	The Scythian	AdventureUI/tweetIconBabelBook		Il taglialegna aveva visto un qualche genere di mostruosità raccapricciante & decise che avrebbe lasciato che ce ne occupassimo noi.			26	010.jpg	Q1B00
LOGFELLA_DOWNSLOPE	The Scythian		adventureUI/megatomeItem	Avevamo recuperato Il Grantomo & Il Signor Ceppo era pronto al 100% a muoverlo muoverlo nella sicurezza della sua dimora.					
				Presagimmo l'arrivo di una tempesta & una canzoncina cominciava già a suonare nel nostro cuore.					
LOGFELLA_CABINMEGATOME	The Scythian	AdventureUI/tweetIconBabelBook		Alla vista della tempesta in arrivo Il Signor Ceppo confessò che stava avendo proprio in quel momento un attacco di panico.					
				Per caso Il Signor Ceppo stava intenzionalmente cercando di mandarci fuori di testa? #sì #no #puòdarsi					
				In ogni caso ripararsi per un po' era probabilmente la cosa più sicura da fare.					
QUESTCOMPLETE_MEGATOME			adventureUI/megatomeItem	Abbiamo Il Grantomo & siamo i più intelligenti. #abbiamoilgrantomo			40	011.jpg	81C1E
GIRL_AVATAR			AdventureUI/dudeDaughterIdle1						
ARCHETYPE_AVATAR			AdventureUI/dudeArchetypeIdle1						
ARCHETYPE_TUTORIAL	The Archetype	AdventureUI/tweetIconInfo							
	The Archetype			Signore & Signori, che ne dite di picchiettare questi due spiritelli silvani così che possa farmi un'idea del vostro sistema stereo?					
	The Archetype			Dal nostro precedente esperimento nel 2011, i social network si sono rivelati catastrofici per la società.					
				Questa volta, incoraggiamo l'isolamento e la riflessione piena di rimpianto.					
				Vi siamo profondamente grati di aver scelto di partecipare a questo trattamento sperimentale per casi acuti d'avvilimento.					
				Troverete questa prima sessione di S:S&S EP abbastanza lineare. Richiede tipicamente solo 15 - 30 minuti per essere completata.					
				Pronti per iniziare? Premete play & andiamo!					
ARCHETYPE_FOUNDATION	The Archetype			S:S&S EP non provoca un'esperienza trascendentale, desidera semplicemente liberare il sistema nervoso dai classici schemi.					
				"Il terzo aspetto del ""Setting"" è quello culturale - prevalentemente nozioni di realtà & normalità. Per ora eviteremo questo argomento."					
				"Il ""Setting"" comprende il comfort, la sicurezza & il calore della stanza o dell'ambiente esterno dove avverrà l'esperienza."					
				Abbiamo scoperto che un individuo rilassato, curioso è più incline ad avere un'esperienza soddisfacente con S:S&S EP.					
				"Il ""Set"" si riferisce allo stato mentale & caratteriale con cui ci si approccia all'esperienza - pensieri, sensazioni e/o aspettative."					
				Parliamo del set & setting per una esperienza positiva con l'estremamente psicoattivo Superborthers: Sword & Sworcery EP.					
				"L'ampliata consapevolezza, l'inutilizzato & smisurato potenziale della mente, ecco a cosa ci riferiamo, noi di Superbrothers, con ""spadomanzia""."					
				L'inno della Spadomanzia può essere inteso come una tecnica psionica & ti permette di percepire una realtà all'interno di  quella che conosci.					
				Per fermare l'inno della Spadomanzia in qualsiasi momento, clicca semplicemente due volte sull'aura della spadomanzia che circonda la Scita.					
				Una volta intonato un inno della Spadomanzia, fai tap & tieni premuto sull'aura della spadomanzia & scorri per guardare attorno.					
				Per intonare l'inno della Spadomanzia, fai tap & tieni premuto sulla Scita per un momento o due & osserva l'aura della spadomanzia concentrarsi.					
				Come puoi vedere, il Grantomo cattura & organizza trasmissioni di pensiero linguistico. Scorri verso il basso per vedere a cosa stavo pensando prima.					
ARCHETYPE_MEGATOMETUTORIAL	The Scythian		adventureUI/megatomeItem	"""Ben fatto - hai appreso l'Inno della Spadomanzia & ora il misterioso potere del Grantomo è tuo."""			47	012.jpg	31E2F
			adventureUI/megatomeItem	"""Il Grantomo intercetta trasmissioni di pensiero linguistico & contiene tutto ciò di cui hai bisogno per portare a termine il tuo compito ingrato."""					
			adventureUI/megatomeItem	Sto pensando a qualcosa proprio in questo momento... perchÉ non apri Il Grantomo & mi cerchi per scoprire cosa mi passa per la testa?					
				"""Troverai un triangolo bianco in altro a destra... toccalo & quindi equipaggia Il Grantomo per svelare ciò che si cela al suo interno."""					
LOGFELLA_STORM	The Scythian			Il taglialegna noto come Signor Ceppo aveva rinunciato al suo solito tagliar legna a causa della sinistra tempesta. #stivalibagnati					
			adventureUI/megatomeItem	Il Signor Ceppo ci ricordò come la tempesta si fosse formata molto rapidamente, subito dopo aver ottenuto il Grantomo dalle viscere del Mingi Taw.					
				Il Signor Ceppo stava forse suggerendoci, in modo non così celato, di provare a far qualcosa per calmare la tempesta? #sì #no #forse					
GIRL_STORM	The Scythian			La ragazza dai capelli corvini nota come 'Ragazza', affrontava il dolore di quel momento. #dolore					
			gourd/gourd	Sin dall'inizio della tempesta, la ragazza vide le spume sonore di alcuni folletti silvani che dormivano nei boschi vicini.					
			gourd/gourd	Si domandava se i tre folletti silvani sarebbero stati d'aiuto nel calmare la tempesta? #sì					
			gourd/gourd	Ci chiese di indagare sulle spume sonore che sgorgavano dalle acque profonde dello stagno all'esterno della baita.					
			gourd/gourd	La ragazza parlò di un folletto in un prato nelle vicinanze & di un altro folletto in un nido artificiale che un tempo era dimora di tre uccellini canterini bagnati fradici.					
			gourd/gourd	La ragazza ci invitò a cercare le spume sonore prodotte da questi tre folletti silvani & a inviarli verso il cielo tramite l'Inno della Spadomanzia.					
ARCHETYPE_SWORCERY	The Archetype			"""È tempo di imparare l'Inno della Spadomanzia - una tecnica di espansione della conoscenza che svela una nuova dimensione mistica & musicale."""					
			gourd/gourd	"""Mantieni la calma & segui le mie indicazioni per evocare il folletto silvano che dorme dolcemente nelle fresche & profonde acque dello stagno."""					
ARCHETYPE_TADPOLES	The Archetype			Era ovvio al 100% che l'uomo vestito stranamente si aspettava che facessimo questa o quella cosa ma non avevamo idea di che.					
			gourd/gourd	"""Vedi le spume sonore che sgorgano dalle profonde acque dello stagno? Proprio lì un folletto silvano sta dormendo dolcemente & tu devi evocarlo."""					
			gourd/gourd	"""Intona un Inno della Spadomanzia in qualsiasi momento toccando & tenendo premuto sulla Scita per entrare in una realtà altra rispetto a quella che conosci."""					
			gourd/gourd	"""Accompagna i due piccoli natanti dove il folletto sonnecchia & quindi innalzalo al cielo con tre tocchi di spadomanzia."""			49	013.jpg	61D3A
GIRL_LOSTKEY	The Scythian			La ragazza era al riparo dalla pioggia sotto l'ampio tetto di legno del pozzo.					
				Aveva lasciato la comodità del focolare nella baita perchÉ a quanto pare Il Signor Ceppo stava andando fuori di testa per qualcosa o qualcos'altro.					
INFO_BIRDEYESCULPTURE	The Scythian			Notammo una scultura di un uccello arrabbiato stagliarsi sul prato. #citazionesottesa			6	014.jpg	F1D48
INFO_MEADOWSHEEP	The Scythian			Notammo alcune inutili pecore oziare in giro per il prato. #inutilipecore					
INFO_CABINSHEEP	The Scythian			Un'altra inutile pecora - perchÉ continuiamo ad osservarle? #inutilipecore					
INFO_MEADOWSUN	The Scythian			Possiamo ricordare chiaramente quanto il sole fosse maestoso in quella particolare giornata di inizio primavera.					
INFO_MEADOWGATE	The Scythian			Nel prato c'era un cancello di ferro inamovibile che bloccava l'entrata di una caverna cavernosa.					
INFO_MEADOWGATEACTIVE	The Scythian			Nel prato c'era un cancello di ferro & avevamo la sensazione di poterlo alzare in qualche modo.					
INFO_MEADOWGATETRIGONACTIVE	The Scythian			Notammo un aggeggio simile a un Trigon d'Oro posto sopra al cancello di ferro - reagirà forse al nostro Inno della Spadomanzia?					
INFO_MEADOWGATETRIGON	The Scythian			Notammo un aggeggio posto sopra al cancello di ferro.					
INFO_LOCKEDDOORSTONEWALL	The Scythian			La porta nel muro di pietra blocca l'antica strada per il Mingi Taw & apparentemente la chiave è persa nei sogni.					
INFO_LOOMINGBIRDSCULPTURES	The Scythian			Notammo una scultura di un uccello arrabbiato stagliarsi sul prato. #citazionesottesa					
INFO_MEADOWSUNSTICK	The Scythian			Notammo un bastone dalla forma strana affacciarsi sul prato.					
INFO_CABINWELL	The Scythian			Notammo un pozzo robusto con un ampio tetto di legno.					
INFO_UNWELLWELL	The Scythian			Il pozzo sembrava impazzito. #impazzito #pozzo					
INFO_WELLNESS	The Scythian			Chi è più pazzo? Il pozzo o il pazzo che lo segue? #impazzito #pozzo #pazzo					
INFO_WELLWHITESTAG	The Scythian			LUNGA VITA AL NUOVO CORPO					
ARCHETYPE_UNWELLWELLOUTRO	The Archetype								
INFO_CABINCHIMNEY	The Scythian			Notammo una robusta baita di pietra con un tetto di paglia che sorgeva accanto a uno stagno dalle acque profonde.					
INFO_CABINWOODPILE	The Scythian			Notammo una pila di legna tagliata, niente di importante.					
INFO_SPUME	The Scythian			Localizzammo le dolci spume sonore di un folletto silvano dormiente. Ora... come fare per evocarlo?					
INFO_NESTBOX	The Scythian			Notammo un nido artificiale dall'aspetto curioso, ora dimora di un'infausta arnia.			13	015.jpg	B1C5F
INFO_NESTBOXWEATHERED	The Scythian			Notammo un nido dall'aspetto consunto che somigliava in modo raccapricciante a una specie di faccia.					
INFO_FLAGPOLELOGBRIDGE	The Scythian			A cavallo di un ponte di legno sull'antica strada si ergeva una lugubre asta adornata da robusti teschi.					
INFO_GOLDTRIGONALTAR	The Scythian			Oltre la caverna cavernosa nel prato ci imbattemmo in un boschetto isolato con una serie di strane strutture petrose.					
			Archetype/trifecta	... Era questo il Trigonbosco? #trigonbosco			93	016.jpg	B1D6J
			triangle/Triangle	Mentre ci trovavamo accanto alla prima struttura petrosa i nostri pensieri andavano al Trigon d'Oro & sentimmo la nostra spada rimestare nel fodero.					
INFO_DARKTRIGONALTAR	The Scythian			Nel Trigonbosco vi era un'altra struttura petrosa consumata & corrosa dalle intemperie. #iltrigonedellalunacupa					
				Pensavamo a cosa sarebbe accaduto se avessimo colpito con la nostra spada la struttura petrosa.					
INFO_BRIGHTTRIGONALTAR	The Scythian			Nel Trigonbosco vi era un'altra struttura petrosa con un glifo circolare che si riferiva alla Luna Splendente. #trigonedellalunasplendente					
				Pensavamo a cosa sarebbe accaduto se avessimo colpito con la nostra spada la struttura petrosa.					
INFO_STONEHEAD	The Scythian			Presso il Precipizio Periglioso vi era un'enorme scultura intagliata nella roccia di una testa impudente con la bocca spalancata.			24	017.jpg	61B76
INFO_STONEHEADSHUT	The Scythian			Presso il Precipizio Periglioso vi era un'enorme scultura intagliata nella roccia di una testa impudente.					
INFO_STONEHEADFLAGPOLE	The Scythian			Sulla sommità di un'enorme scultura intagliata nella roccia si ergeva una lugubre asta adornata in modo inquietante da robusti teschi o qualcosa del genere.					
INFO_CHASMSTONESHELTER	The Scythian			Ad un lato del Precipizio Periglioso si ergeva qualcosa di meraviglioso, simile ad un dolmen, che racchiudeva due sedie di pietra dall'aspetto comodo.			25	018.jpg	O1C8M
INFO_SKULLPOLE	The Scythian			A cavallo di un ponte pericolante si ergeva una lugubre asta adornata in modo inquietante dal teschio di un cervo.					
INFO_TRIFECTASYMBOL	The Scythian			Al di sopra dell'entrata intagliata nella roccia ad un tempio montano notammo una rappresentazione pittografica della Trigon Tripletta.					
INFO_MOUNTAINGATE	The Scythian			Nelle profondità del tempio montano notammo un cancello di ferro inamovibile & al di là di questo riuscivamo a vedere l'imponenza del Mingi Taw racchiuso dalle nubi.					
INFO_MOUNTAINGATETRIGON	The Scythian			Nelle profondità del tempio montano, sopra un alto corridoio, notammo tre strane forme triangolari.					
INFO_MOUNTAINGATETRIGONACTIVE	The Scythian			Nelle profondità del tempio montano, sopra un alto corridoio, notammo la foggia della Trigon Tripletta.					
INFO_CABINRECORD	The Scythian			All'interno della baita notammo un piccolo oggetto somigliante a un disco posto sopra al focolare. #laballatadeibambinispaziali			46	019.jpg	P1D99
INFO_CABINHEARTH	The Scythian			Il focolare all'interno della baita stava dolcemente scoppiettando, producendo un calore familiare.					
INFO_CABINSEAT	The Scythian			All'interno della baita, su entrambi i lati del focolare, c'erano due sedie di legno grezzo.					
INFO_GOGOLITHICMASS	The Scythian			Notammo un teschio di cervo fluttuare nelle tenebre al di sotto del Mingi Taw.					
INFO_MEGATOMBTRIFECTA	The Scythian			Notammo una rappresentazione pittografica della Trigon Tripletta nelle tenebre al di sotto del Mingi Taw.					
INFO_ROCKSHOWGIRL	The Scythian			Al concerto rock notammo la ragazza dai capelli corvini & pensammo che forse disse fuoco cammina con me.					
INFO_ROCKSHOWSKOLOTOI	The Scythian			Al concerto rock notammo uno di quei tipi scheletrici rilassarsi su quel ritmo minaccioso.					
INFO_ROCKSHOWJIM	The Scythian			Headliner del concerto rock non era altro che il tizio misterioso, amante della musica, noto come Jim Guthrie.			160	020.jpg	T2G03
INFO_ROCKSHOWBOOR	The Scythian			Al concerto rock notammo Tamarrorso rockeggiare nudo col suo affare.			121	021.jpg	E2G15
INFO_ROCKSHOWCROWD	The Scythian			Al concerto rock c'era una folla considerevole di signore & signori.					
INFO_ROCKSHOWARCHETYPE	The Scythian			Al concerto rock notammo il tizio conosciuto come L'Archetipo & rimanemmo a pensare cosa avesse a che fare con tutto questo.					
INFO_TRIGONGROVESKULLSTICK	The Scythian			Una lugubre asta adornata da un teschio di cervo collega questo luogo allo spettro immortale che si aggira al di sotto del Mingi Taw.					
GRAVE_TRIGONGROVE	The Scythian			Nel Trigonbosco, oltre la caverna cavernosa, notammo nel prato una tomba solitaria & ci incuriosì un po'.					
GRAVE_TRIGONGROVEGHOST	The Scythian			Nel Trigonbosco, oltre la caverna cavernosa, ci avvicinammo nel prato ad una tomba solitaria & ci imbattemmo in un tipo spettrale splendente.					
				Il tipo spettrale splendente nel Trigonbosco sul subito ci fece andare fuori di testa, ad esser onesti.			96	022.jpg	T2B2H
			adventureUI/megatomeItem	Riconobbe il nostro costume scita & vide che portavamo con noi il Grantomo. Si chiese se riuscivamo a capire i segni esoterici al suo interno.					
				In un sussurro pronunciò il nome dello spettro immortale che avevamo risvegliato nell'oscurità al di sotto del Mingi Taw: La Massa Gogolitica.			166	023.jpg	O2B39
				Conoscevamo quel nome spaventoso attraverso gli antichi racconti & sentimmo il nostro sangue raggelarsi.					
				"""Ho avuto la sensazione che fino ad ora La Massa Gogolitica ti ha visto come una specie di turista."""					
			triangle/Triangle	"""Ora che hai appreso l'Inno della Spadomanzia & domato Il Trigon d'Oro scoprirai che ogni tuo passo sarà stregato."""					
				Non riuscivamo a capire se il tipo spettrale splendente ci stesse incoraggiando od intimidendo o cosa.					
				Raccontammo al tipo spettrale della nostra intenzione di far esplodere il Grantomo sulla cima del Mingi Taw & di liberare la Massa Gogolitica dall'immortalità.					
			Archetype/trifecta	Chiedemmo della Trigon Tripletta & dell'ubicazione dei due Trigoni rimanenti, ma il suo responso fu tanto incomprensibile da essere irritante.					
				"""I due Trigoni rimanenti esistono soltanto nei sogni di coloro che abitano la montagna."""			43	024.jpg	8.2E+46
				"""Nel trovare i due Trigoni rimanenti il dove non è così importante quanto il quando & il come."""					
				Il tipo spettrale splendente diceva di sicuro un sacco di cose inutili & senza senso.					
GRAVE_LOGBRIDGE	The Scythian			Notammo una serie di tombe in un boschetto su un lato dell'antica strada & ci chiedemmo cosa mai ci fosse lì.					
GRAVE_LOGBRIDGEGHOST	The Scythian			Ci avvicinammo ad una serie di tombe in un boschetto su un lato dell'antica strada & incontrammo alcuni spiriti dall'aspetto amichevole.			116	025.jpg	62B55
				Lo spettro splendente che parlò era un gigante che ci era noto attraverso gli antichi racconti, tanto che il suo ritratto richiedeva rispetto. #andre					
			Archetype/trifecta	"""L'anno scorso, prima della festa del solstizio d'inverno, misi insieme un gruppo di amici & partimmo con l'intenzione di riunire La Trigon Tripletta."""					
				"""Avevamo sentito le storie sul portale per l'infinito sulla cima del Mingi Taw & pensammo che sembrava proprio qualcosa di ganzo da vedere."""					
			triangle/Triangle	"""Beh, ad ogni modo domammo Il Trigon d'Oro & demmo un'occhiata con più attenzione al Trigonbosco, prima di partire alla ricerca del Trigone della Luna Splendente."""					
				"""La ricerca del Trigone della Luna Splendente non andò poi così bene... a dir la verità ci perdemmo completamente."""					
				"""A poco a poco capimmo l'importanza del ciclo lunare & l'influenza che aveva sugli spiritelli che dormono nei regni del crepuscolo."""					
				"""E così ci sedemmo qui & iniziammo ad osservare l'umore della luna così da imparare quando farci trovare in un certo luogo & come."""			7	026.jpg	Q2D6P
				"""Morimmo di noia aspettando con le mani in mano che l'umore della luna cambiasse."""					
				"""Ok, in realtà morimmo a causa di un litigio che scoppiò a causa della noia."""					
				"""Non mi va proprio di parlarne proprio adesso, se non ti dispiace."""					
				"""Ok, allora quel che accadde fu che uno del nostro gruppo era un baro imbroglione & lo cogliemmo con le mani nel sacco."""					
