id	English	Japanese	JPN NOTES	French	Italian	German	Spanish	FIGS Notes/Questions	7
GAME_NAME	Superbrothers: Sword & Sworcery EP	スキタイのムスメ：音響的冒剣劇		Superbrothers: Sword & Sworcery EP 	Superbrothers: Sword & Sworcery EP	Superbrothers: Sword & Sworcery EP	Superbrothers: Sword & Sworcery EP		34
GAME_MOTTO	A BRAVE EXPERIMENT IN I/O CINEMA	インプット・アウトプット・シネマ実験		UNE COURAGEUSE EXPÉRIENCE EN CINÉMA I/O.	UN CORAGGIOSO ESPERIMENTO DI CINEMA I/O	EIN MUTIGES EXPERIMENT IN I/O CINEMA	UN EXPERIMENTO AUDAZ DE CINE INTERACTIVO		32
GAME_NAME_SHORT	S:S&SEP	スキムス	HM, jun13: Changed it since it was using the old name.	S:S&SEP	S:S&SEP	S:S&S EP	S:S&S EP		7
WITH_SONGS	WITH SONGS & SOUNDS BY	楽曲 & サウンド：		MUSIQUES ET SONS DE	CON MUSICHE E SUONI DI	MIT LIEDERN & SOUNDS VON	CON CANCIONES Y SONIDOS DE		22
JIM_GUTHRIE	JIM GUTHRIE	ジム・ガスリー		JIM GUTHRIE	JIM GUTHRIE	JIM GUTHRIE	JIM GUTHRIE		11
FOR_DEMO	FOR DEMONSTRATION PURPOSES ONLY	体験版専用		SEULEMENT À DES FINS DE DÉMONSTRATION	AL SOLO SCOPO DIMOSTRATIVO	NUR ZU DEMONSTRATIONSZWECKEN	SOLO PARA FINES DEMOSTRATIVOS		31
END_DEMO	Thus ends the demo of	これにて体験版終劇：		Voilà qui conclue la démo de	Finisce così la demo di	So endet die Demoversion von	Aquí termina la demo de		21
SIDE_A	SIDE A	A面		PARTIE A	LATO A	SEITE A	LADO A		6
SIDE_B	SIDE B	B面		PARTIE B	LATO B	SEITE B	LADO B		6
ROTATE	UNSHEATHE?	抜刀する？	JJ, Jun08: Removed space.	DÉGAINER ? 	SFODERA?	ZIEHEN?	¿DESENVAINAR?		10
INVENTORY_ROTATE	ROTATE?	回転してみる？	MM,May29: Shortened, please recenter on screen JR, may30: Changed to Japanese ？	TOURNER ?	RUOTA?	DREHEN?	¿GIRAR?		7
LOOK	LOOK	見て		VOIR	GUARDA	UMSEHEN	MIRAR		4
LISTEN	LISTEN	聞いて		ÉCOUTER	ASCOLTA	ZUHÖREN	ESCUCHAR		6
TOUCH	TIP TAP	トントンして		TOUCHER	TIP TAP	TIPP-TIPP	TOCAR		7
DREAM	DREAM	夢		RÊVER	SOGNA	TRAUM	SOÑAR		5
TOUCH_ARROW_LEFT	< <TOUCH	< <触れて		< < TOUCHER	< <TOCCA	< <BERÜHREN	< < TOCAR		8
TOUCH_ARROW_RIGHT	TOUCH> >	触れて> >		TOUCHER> >	TOCCA> >	BERÜHREN> >	TOCA > >		8
GUIDE_ARROW_LEFT	< <GUIDE	< <こっちへ		< < GUIDER	< <GUIDA	< <FÜHREN	< < GUIAR		8
GUIDE_ARROW_RIGHT	GUIDE> >	こっちへ> >		GUIDER> > 	GUIDA> >	FÜHREN> >	GUÍA > >		8
OBSERVE	OBSERVE	観察して		OBSERVER	OSSERVA	BEOBACHTEN	OBSERVAR		7
INVESTIGATE	INVESTIGATE	よく見て		ENQUÊTER	INDAGA	UNTERSUCHEN	INVESTIGAR		11
SHAKE	SHAKE?	振ってみる？	JR, may30: Changed to Japanese ？	SECOUER ?	SCUOTI?	SCHÜTTELN?	¿SACUDIR?		6
REFLECT	REFLECT	反射を		RÉFLÉCHIR	RIFLETTI	REFLEKTIEREN	REFLEXIONAR		7
BELIEVE	BELIEVE	信じて		CROIRE	CREDI	GLAUBEN	CREER		7
BEWARE	BEWARE	気をつけて		ATTENTION	ATTENZIONE	ACHTUNG	CUIDADO		6
FOLLOW	FOLLOW?	ついていく？		SUIVRE ? 	SEGUI?	FOLGEN?	¿SEGUIR?		7
ROTATE_UNSHEATHE	< < UNSHEATHE	< <抜刀	JJ, Jun6: Didn't have translation for this one, but based it on row 11. JR, jun12: Hiroko OK. JR, jun12: Fixed spacing around arrows.	< < DÉGAINER	< < SFODERA	< < ZIEHEN	< < DESENVAINAR		13
GO_HOME	GO HOME?	家に帰る？		RENTRER ? 	RIENTRA?	NACH HAUSE?	¿IR A CASA?	IT: What's the context/function of this string? MR - I think it's actually not being called, but in case we need it a literal translation would likely be fine	8
START_ARROW_RIGHT	START > > >	スタート> >	JR, jun12: Fixed spacing around arrows.	DÉMARRER > > > 	INIZIA > > >	START > > >	INICIO > > >		11
TRESPASS	TRESPASS	侵入		INTRUSION	INTRUSIONE	EINDRINGEN	ENTRAR		8
AVOID	AVOID	避ける		ÉVITER	EVITA	VERMEIDEN	EVITAR		5
CONSIDER	CONSIDER	よく考える		CONSIDÉRER	VALUTA	ÜBERDENKEN	EXAMINAR		8
PERSEVERE	PERSEVERE	がんばる		PERSÉVÉRER	PERSEVERA	DURCHHALTEN	PERSEVERAR		9
START_OVER	START OVER?	やり直す？	JR, may30: Changed to Japanese ？	RECOMMENCER ?	RICOMINCIA?	NEUSTARTEN?	¿EMPEZAR DE NUEVO?		11
PROMPT_YES	YES	はい		OUI	SÌ	JA	SÍ		3
PROMPT_NO	NO	いいえ		NON	NO	NEIN	NO		2
PROMPT_OK	OKAY	OK	JJ, Jun06: Needs translation. JJ, Jun08: Just putting "決定" here so we can find it in the rom. JJ, Jun11: OK is the final text. JR, jun12: Hiroko OK.	OK	OK	OKAY	ACEPTAR		4
PROMPT_CANCEL	CANCEL	キャンセル		ANNULER	ANNULLA	ABBRECHEN	CANCELAR		6
PROMPT_SUBMIT	SUBMIT	送信		ENVOYER	INVIA	SENDEN	ENVIAR		6
PROMPT_DELETE_SAVE	DO YOU WANT TO DELETE YOUR SAVE DATA? ALL PROGRESS WILL BE LOST!	セーブデータを削除しますか？;これまでの進捗情報は;すべて削除されます	HW, Jun6: This string needs line breaks. Shows up when trying to delete save data in the settings menu.  JJ, Jun11: Hiroko please check line breaks (I put them in already, please just make sure they are OK by JP standards).  HM, Jun12: What's the character limit? Also, the single byte question mark seems inconsistent than the others but is this intentional? JR, jun12: Hiroko OK.	VOULEZ-VOUS EFFACER VOS DONNÉES SAUVEGARDÉES ? TOUTE PROGRESSION SERA PERDUE !	VUOI CANCELLARE I TUOI DATI DI SALVATAGGIO? TUTTI I PROGRESSI ANDRANNO PERSI!	MÖCHTEST DU DEINEN SPEICHERSTAND LÖSCHEN? DU VERLIERST JEGLICHEN FORTSCHRITT!	¿QUIERES ELIMINAR LOS DATOS GUARDADOS? SE PERDERÁ EL PROGRESO.		64
FULLSCREEN	FULLSCREEN	全画面		PLEIN ÉCRAN	SCHERMO INTERO	VOLLBILD	PANTALLA COMPLETA		10
FULLSCREEN_YES	YES	はい		OUI	SÌ	JA	SÍ		3
FULLSCREEN_NO	NO	いいえ		NON	NO	NEIN	NO		2
VOLUME	VOLUME	ボリューム		VOLUME	VOLUME	LAUTSTÄRKE	VOLUMEN		6
SETTINGS	SETTINGS	設定		PARAMÈTRES 	IMPOSTAZIONI	EINSTELLUNGEN	CONFIGURACIÓN		8
CLEAR_DATA	CLEAR DATA	データを消去		EFFACER DONNÉES	CANCELLA DATI	DATEN LÖSCHEN	BORRAR DATOS		10
KEEP_CHANGES	KEEP CHANGES?	変更を保存しますか？		GARDER LES CHANGEMENTS ? 	VUOI MANTENERE LE MODIFICHE?	ÄNDERUNGEN BEIBEHALTEN?	¿GUARDAR CAMBIOS?		13
KEEP_CHANGES_AUTO	KEEP CHANGES? WILL AUTO REVERT IN	変更を保存しますか？;自動的に戻るまであと：	解像度変更オプションで、保存するを選択しない場合自動的に設定が変更前に戻るものと想像しました。また、INの後にはカウントダウンする数字が入るものと考えました HM, Jun13: Made the : double byte.	GARDER CHANGEMENTS ? SERONT ANNULÉS DANS 	VUOI MANTENERE LE MODIFICHE? SI ANNULLERÀ TRA	ÄNDERUNGEN BEIBEHALTEN? WIRD ZURÜCKGESETZT IN	¿GUARDAR CAMBIOS? SE REVERTIRÁN EN		33
GAME_RESTART_REQUIRED	GAME RESTART IS REQUIRED FOR CHANGES TO TAKE EFFECT	変更を反映するにはゲームを再起動する必要があります		REDÉMARRAGE REQUIS POUR QUE LES CHANGEMENTS PRENNENT EFFET. 	È NECESSARIO RIAVVIARE IL GIOCO PER APPLICARE LE MODIFICHE	SPIEL MUSS FÜR DIE ÄNDERUNGEN NEUGESTARTET WERDEN	REINICIA EL JUEGO PARA QUE TENGAN EFECTO LOS CAMBIOS		51
TWITTER_BROADCAST	YOU MAY WISH TO BROADCAST VIA TWITTER	ゲームの進捗はTwitterで実況できます		PEUT-ÊTRE VOUDRIEZ-VOUS DIFFUSER SUR TWITTER	FORSE TI VA DI POSTARE SU TWITTER	DU KÖNNTEST ÜBER TWITTER SENDEN	QUIZÁ QUIERAS TRANSMITIR POR TWITTER		37
TWITTER_SETTINGS	TWITTER	Twitter		TWITTER	TWITTER	TWITTER	TWITTER		7
TWITTER_TWEET	TWEET THIS?	ツイートする？		TWEETER CECI ?	TWITTIAMO?	DAS TWEETEN?	¿TUITEAR ESTO?		11
TWITTER_SIGN_IN	SIGN IN TO TWITTER	Twitterにサインイン		CONNEXION À TWITTER	ACCEDI A TWITTER	BEI TWITTER ANMELDEN	INICIA SESIÓN EN TWITTER		18
TWITTER_USERNAME	USERNAME OR EMAIL	ユーザー名／メールアドレス	HM, Jun13: Changed / to double byte	IDENTIFIANT OU MAIL	NOME UTENTE O EMAIL	NUTZERNAME ODER E-MAIL-ADRESSE	NOMBRE DE USUARIO O EMAIL		17
TWITTER_PASSWORD	PASSWORD	パスワード		MOT DE PASSE	PASSWORD	PASSWORT	CONTRASEÑA		8
TWITTER_NEVERMIND	BACK	戻る		RETOUR	INDIETRO	ZURÜCK	ATRÁS		4
TWITTER_TWEETING	TWEETING...	ツイート中...		TWEET EN COURS…	TWITTANDO...	WIRD GETWEETET ...	TUITEANDO...		11
TWITTER_SIGNING_IN	SIGNING IN...	サインイン中...		CONNEXION…	ACCESSO IN CORSO...	ANMELDEN ...	INICIANDO SESIÓN...		13
TWITTER_SUCCESS	SUCCESS!	完了！	JR, may30: Changed to Japanese ！	SUCCÈS !	FATTO!	GESCHAFFT!	¡LISTO!		8
TWITTER_FAILED	FAILED	失敗...		ÉCHEC	ERRORE	FEHLGESCHLAGEN	ERROR		6
TWITTER_WRONG_LOGIN	WRONG USERNAME OR PASSWORD	ユーザー名かパスワードが間違っています		IDENTIFIANT OU MOT DE PASSE INCORRECT	NOME UTENTE O EMAIL ERRATI	FALSCHER NUTZERNAME ODER PASSWORT	NOMBRE DE USUARIO O CONTRASEÑA INCORRECTOS		26
TWITTER_CONNECT_FAIL	CONNECTION FAILED	接続に失敗しました		ÉCHEC DE LA CONNEXION	CONNESSIONE NON RIUSCITA	VERBINDUNG FEHLGESCHLAGEN	FALLÓ LA CONEXIÓN		17
TWITTER_SIGN_IN_ONLY	SIGN IN	サインイン		CONNEXION	ACCEDI	ANMELDEN	INICIAR SESIÓN		7
TWITTER_SIGN_OUT_ONLY	SIGN OUT	サインアウト		DÉCONNEXION	ESCI	ABMELDEN	CERRAR SESIÓN		8
TWITTER_SIGNED_IN	YOU ARE CURRENTLY SIGNED IN TO TWITTER	Twitterにサインインしています		VOUS ÊTES ACTUELLEMENT CONNECTÉ SUR TWITTER.	HAI EFFETTUATO L'ACCESSO A TWITTER	DU BIST JETZT BEI TWITTER ANGEMELDET	INICIASTE SESIÓN EN TWITTER		38
TWITTER_SIGNED_OUT	YOU ARE NOT SIGNED IN TO TWITTER	Twitterにサインインしていません		VOUS N'ÊTES PAS CONNECTÉ SUR TWITTER.	NON HAI EFFETTUATO L'ACCESSO A TWITTER	DU BIST BEI TWITTER NICHT ANGEMELDET	NO INICIASTE SESIÓN EN TWITTER		32
TWITTER_FILL_OUT	PLEASE FILL OUT ALL FIELDS	すべてのフィールドに入力してください		VEUILLEZ REMPLIR TOUS LES CHAMPS.	COMPILA TUTTI I CAMPI	BITTE FÜLLE ALLE FELDER AUS	COMPLETA TODOS LOS CAMPOS		26
EPITAPH	THERE ARE NO SECRETS LEFT IN THESE MAEOTIAN MARSHES	かのマイオティス湿地にはもはや秘密など残されていない		IL N'Y A PLUS AUCUN SECRET DANS CES MARAIS MÉOTES.	NON CI SONO PIÙ SEGRETI DA SCOPRIRE IN QUESTI ACQUITRINI MEOTI	ES GIBT KEINE GEHEIMNISSE MEHR IN DIESEN MÄOTISCHEN SÜMPFEN	NO QUEDA NINGÚN SECRETO EN LOS MARJALES DE LOS MEOTAS.		51
FIGHT	FIGHT?	戦う？	JR, may30: Changed to Japanese ？	COMBATTRE ?	LOTTA?	KÄMPFEN?	¿LUCHAR?		6
DARKMOON_COUNT_9	DARK MOON IN 9 DAYS	暗月まであと９日	JR, jun12: Changed 9 to ９	NOUVELLE LUNE DANS 9 JOURS	LUNA NERA TRA 9 GIORNI	DUNKLER MOND IN 9 TAGEN	LUNA OSCURA EN 9 DÍAS		19
DARKMOON	DARK MOON	暗月		NOUVELLE LUNE	LUNA NERA	DUNKLER MOND	LUNA OSCURA		9
BRIGHTMOON	BRIGHT MOON	明月		PLEINE LUNE	LUNA PIENA	HELLER MOND	LUNA BRILLANTE		11
DARKMOON_BEFORE_NUM	DARK MOON IN	暗月まであと		NOUVELLE LUNE DANS	LUNA NERA TRA	DUNKLER MOND IN	LUNA OSCURA EN		12
DARKMOON_AFTER_1	DAY	日		JOUR	GIORNO	TAG	DÍA		3
DARKMOON_AFTER_MORE	DAYS	日		JOURS	GIORNI	TAGEN	DÍAS		4
BRIGHTMOON_BEFORE_NUM	BRIGHT MOON IN	明月まであと		PLEINE LUNE DANS	LUNA PIENA TRA	HELLER MOND IN	LUNA BRILLANTE EN		14
BRIGHTMOON_AFTER_1	DAY	日		JOUR	GIORNO	TAG	DÍA		3
BRIGHTMOON_AFTER_MORE	DAYS	日		JOURS	GIORNI	TAGEN	DÍAS		4
TIME_PARADOX	* TIME PARADOX *	* タイム パラドックス *		* PARADOXE TEMPOREL *	* PARADOSSO TEMPORALE *	* ZEITPARADOX *	* PARADOJA TEMPORAL *		16
ERRAND_END	YOUR WOEFUL ERRAND IS AT AN END.	使命はついに果たされた		VOTRE QUÊTE TRAGIQUE EST BIENTÔT TERMINÉE	LA TUA SVENTURATA INCOMBENZA È GIUNTA AL TERMINE.	DEINE BEDAUERLICHE AUFGABE IST ZUENDE.	LA ODISEA INFORTUNADA ESTÁ POR TERMINAR.		32
BEWARE_BOOR	BEWARE THE GRIZZLED BOOR	クマズリーに注意		ATTENTION AU GRIZZLY RUSTRE	ATTENZIONE AL BIFOLCO GRIZZLY	PASS AUF DEN GRAUHAARIGEN FLEGEL AUF	CUIDADO CON EL URSO GRIZZLE		24
MOVE_CONTROLS	PRESS & HOLD TO MOVE	タップしたままにすると移動		MAINTENEZ APPUYÉ POUR BOUGER	TIENI PREMUTO PER MUOVERTI	TIPPEN & HALTEN ZUM BEWEGEN	MANTÉN PULSADO PARA MOVERTE		20
STOP_CONTROLS	TIP TAP TO STOP?	トントンして立ち止まる？	JR, may30: Changed to Japanese ？	TOUCHER POUR ARRÊTER ?	TIP TAP PER FERMARE?	TIPP-TIPP ZUM STOPPEN?	¿TOCAR PARA DETENER?		16
STOP_CONTROLS_ARROW	< < TIP TAP TO STOP?	< <トントンして立ち止まる？	JR, may30: Changed to Japanese ？	< < TOUCHER POUR ARRÊTER ?	< < TIP TAP PER FERMARE?	< < TIPP-TIPP ZUM STOPPEN?	< < ¿TOCAR PARA DETENER?		20
SLAY	SLAY?	息の根を止める？	JR, may30: Changed to Japanese ？	ACHEVER ?	UCCIDI?	ERLEDIGEN?	¿MATAR?		5
ZOOM_CONTROLS	< < <  ZOOM? > > >	< < <  ズーム？ > > >	HM, Jun13: Changed ? to double byte	< < < ZOOM ? > > >	< < < ZOOM? > > >	< < < ZOOMEN? > > >	< < < ¿ACERCAR? > > >		18
LOOK_CONTROLS	PRESS, HOLD & SWIPE ON SWORCERY AUREOLE	ソーサリーのオーラをタップしたままドラッグ	JJ, Jun11: This is really long on the screen. JR, jun12: HIROKO: consider changing "swipe" to whatever the JP is for "drag" JR, jun13: JJ - any reason they use AUREOLE here and not AURA like elsewhere? It's the same thing, isn't it? HM, jun13: Made it shorter	TOUCHEZ, MAINTENEZ & BALAYEZ L'AURÉOLE DE SWORCERY.	TOCCA, TIENI PREMUTO E TRASCINA SULL'AURA	SWORCERY-AURA ANTIPPEN, HALTEN & DARÜBER WISCHEN	TOCA, MANTÉN PULSADA Y DESLIZA LA AUREOLA DE RECHICERÍA.		39
LOOK_CONTROLS_2	PRESS & SWIPE TO LOOK AROUND	タップしたままドラッグで見渡す	HM, jun13: changed swipe to drag.	TOUCHEZ & BALAYEZ POUR VOIR LES ENVIRONS	TOCCA E TRASCINA PER GUARDARTI INTORNO	TIPPEN & WISCHEN ZUM UMSEHEN	TOCA Y DESLIZA PARA MIRAR ALREDEDOR		28
TONGUE_TEXT	Tilt, unsheathe & hold your scythian sword up high in the rainbow for a few seconds and have faith	傾け、抜刀し、スキタイの剣を幾秒か、;虹に向けて掲げよ。;意志あるところに道は通ず	MM, 6/1: We can't find this line in the game? Is it in the game?	Inclinez, dégainez votre épée scythienne & maintenez-là en l'air pour dans l'arc-en-ciel pendant quelques secondes. Gardez la foi.	Inclina, sfodera e innalza la tua spada scita nell'arcobaleno per qualche istante. Abbi fede.	Neige dein skythisches Schwert, ziehe es & halte es ein paar Sekunden hoch in den Regenbogen und hab Vertrauen	Inclina, desenvaina y sujeta la espada escita hacia arriba en el arcoíris durante unos segundos y ten fe.		98
TOUCH_HOLD	PRESS & HOLD	タップしたままにする		TOUCHEZ & MAINTENEZ	TIENI PREMUTO	TIPPEN & HALTEN	MANTÉN PULSADO		12
TOUCH_HOLD_ARROW_LEFT	< < PRESS & HOLD	< < タップしたままにする	JJ, Jun6: Didn't have translation here, but made it based on row 91 HM, Jun13: tweaked it. Was there a specific reason you used して instead of する ?	< < TOUCHEZ & MAINTENEZ	< < TIENI PREMUTO	< < TIPPEN & HALTEN	< < MANTENER PULSADO		16
TOUCH_HOLD_ARROW_RIGHT	PRESS & HOLD > >	タップしたままにする > >	JJ, Jun6: Didn't have translation here, but made it based on row 91 HM, Jun13: tweaked it. Was there a specific reason you used して instead of する ?	TOUCHEZ & MAINTENEZ > >	TIENI PREMUTO > >	TIPPEN & HALTEN > >	MANTÉN PULSADO > >		16
TIP_TAP_QUESTION	TIP TAP?	トントンする？	JR, may30: Changed to Japanese ？	TOUCHER ?	TIP TAP?	TIPP-TIPP?	¿TOCAR?		8
TIP_TAP_ARROW_LEFT	< < TIP TAP	< <トントンする		< < TOUCHER	< < TIP TAP	< < TIPP-TIPP	< < TOCAR		11
TIP_TAP_ARROW_LEFT_Q	< < TIP TAP?	< <トントンする？	JR, may30: Changed to Japanese ？	< < TOUCHER ?	< < TIP TAP?	< < TIPP-TIPP?	< < ¿TOCAR?		12
TIP_TAP_ARROW_RIGHT	TIP TAP > >	トントンする> >		TOUCHER > >	TIP TAP > >	TIPP-TIPP > >	TOCAR > >		11
RUB	RUB	こする		FROTTER	SFREGA	REIBEN	FROTAR		3
QUIT	QUIT?	やめる？		QUITTER ?	ESCI?	BEENDEN?	¿SALIR?		5
TAP_ARROW_LEFT	< < PRESS	< <タップする		< < TOUCHER	< < TOCCA	< < TIPPEN	< < TOCAR		9
MOON_TIME_1	moments ago	さっき		il y a quelques instants	attimi fa	vor Augenblicken	hace instantes		11
MOON_TIME_2	a little while ago	ちょっと前		il y a un petit moment	poco tempo fa	vor einer kleinen Weile	hace un ratito		18
MOON_TIME_3	a while ago	けっこう前		il y a un moment	un po' di tempo fa	vor einer Weile	hace un rato		11
MOON_TIME_4	in days of yore	ずいぶん前		en des temps révolus	nei giorni che furono	in alten Zeiten	en los días de antaño		15
MOON_TIME_5	many moons ago	かなり前		il y a plusieurs lunes	molte lune fa	vor vielen Monden	hace muchas lunas		14
MOON_TIME_6	a long time ago	ずっとずっと前		il y très longtemps	tanto tempo fa	vor sehr langer Zeit	hace mucho tiempo		15
COSMIC_FRIENDS	NOW WE ARE COSMIC FRIENDS FOREVER... OK?	さて、これで僕らは永遠にコズミックフレンドだ…いいね？		NOUS VOICI AMIS COSMIQUES POUR LA VIE, D'ACCORD ?	ORA SIAMO AMICI COSMICI PER LA VITA... VA BENE?	JETZT SIND WIR FÜR IMMER KOSMISCHE FREUNDE ... OK?	AHORA SOMOS AMIGOS CÓSMICOS PARA SIEMPRE, ¿SABES?		40
The Scythian	The Scythian	スキタイのムスメ		La scythienne	La Scita	Die Skythin	La escita		12
Girl	Samae	オトメちゃん		Samae	Samae	Samae	Samae	Samae has not been addressed in Japanese yet, maybe it's fine as is?	5
Logfella	Logfella	丸太さん		Logfella	Logfella	Logfella	Troncales		8
Dogfella	Dogfella	イヌさん		Dogfella	Dogfella	Dogfella	Perrales		8
The Archetype	The Archetype	アーキタイプ		L'Archétype	L'Archetipo	Der Archetypus	El Arquetipo		13
EXIT	EXIT	終了		QUITTER	ESCI	VERLASSEN	SALIR		4
RESOLUTION	RESOLUTION	解像度		RÉSOLUTION	RISOLUZIONE	AUFLÖSUNG	RESOLUCIÓN		10
RESET	RESET	リセット		RÉINITIALISER	RESET	ZURÜCKSETZEN	RESTABLECER		5
PROMPT_CONFIRM_QUIT	QUIT TO MAIN MENU?	メインメニューに戻る？	HM, Jun12: Is the single byte question mark intentional? JR, jun12: Fixed.	RETOUR AU MENU PRINCIPAL ?	VUOI TORNARE AL MENÙ PRINCIPALE?	ZURÜCK ZUM HAUPTMENÜ?	¿SALIR AL MENÚ PRINCIPAL?		18
APPLY	APPLY	適用		APPLIQUER	APPLICA	ÜBERNEHMEN	APLICAR		5
BACK	BACK	戻る		RETOUR	INDIETRO	ZURÜCK	ATRÁS		4
ERRMSG_UNABLE_TO_SAVE	Unable to save file	ファイルにセーブできません		Impossible de sauvegarder ce fichier.	Impossibile salvare il file	Speichern nicht möglich	No se puede guardar el archivo.		19
ERRMSG_UNABLE_TO_DELETE	Unable to delete file	ファイルを削除できません		Impossible d'effacer ce fichier.	Impossibile eliminare il file	Löschen nicht möglich	No se puede eliminar el archivo.		21
ERRMSG_UNABLE_TO_DELETE_STEAM	An error prevented the game from deleting the Steam save.	エラーが起きたので Steam の;セーブを削除できませんでした	HW, Jun6: This string likely needs line breaks. Shows up in same popup box when quitting the game. JR, jun12: Fixed but need to check if it fits.	Une erreur est survenue, empêchant le jeu d'effacer la sauvegarde Steam.	Un errore ha impedito al gioco di eliminare il salvataggio di Steam.	Aufgrund eines Fehlers konnte das Spiel den Steam-Spielstand nicht löschen.	Un error impidió que el juego eliminara los datos guardados de Steam.		57
